File	Terminals	Reading time (s)	Encoding time (s)	Total time (s)	Current memory (KB)	Peak memory (KB)
1432.newick	20	0.0011761188507080078	0.09309840202331543	0.09427499771118164	11.961	24.397
2486.newick	20	0.0011868476867675781	0.10579657554626465	0.10698413848876953	11.874	24.753
3035.newick	20	0.0011746883392333984	0.09767723083496094	0.09885287284851074	12.368	24.439
4942.newick	4	0.0009350776672363281	0.0032095909118652344	0.004144906997680664	2.816	14.234
615.newick	26	0.0012805461883544922	0.08521604537963867	0.08649706840515137	18.656	32.791
3767.newick	19	0.00115203857421875	0.08298015594482422	0.08413267135620117	11.267	22.508
3539.newick	19	0.0011851787567138672	0.09000086784362793	0.0911865234375	11.251	23.638
998.newick	22	0.0012118816375732422	0.1199028491973877	0.12111520767211914	15.713	28.295
437.newick	30	0.0013663768768310547	0.10070204734802246	0.10206913948059082	20.746	34.511
3765.newick	19	0.0011339187622070312	0.09501004219055176	0.0961449146270752	11.743	23.643
1390.newick	21	0.0019130706787109375	0.06379318237304688	0.06570696830749512	12.556	25.27
2407.newick	20	0.0012145042419433594	0.08699250221252441	0.08820772171020508	12.525	23.499
1515.newick	20	0.0011763572692871094	0.0925912857055664	0.09376835823059082	10.963	23.179
2684.newick	20	0.0012133121490478516	0.10090065002441406	0.10211443901062012	11.882	24.769
3346.newick	20	0.0011553764343261719	0.0891408920288086	0.09029674530029297	11.713	23.685
508.newick	28	0.0013015270233154297	0.08306145668029785	0.08436346054077148	20.33	34.361
4183.newick	13	0.0011696815490722656	0.041532039642333984	0.042702674865722656	6.869	16.788
2864.newick	20	0.0012629032135009766	0.10335969924926758	0.10462379455566406	12.054	24.691
932.newick	22	0.0012531280517578125	0.07455277442932129	0.0758063793182373	15.677	28.58
297.newick	33	0.0013997554779052734	0.1319420337677002	0.13334250450134277	22.5	41.142
584.newick	27	0.0012137889862060547	0.06900238990783691	0.07021689414978027	13.935	25.365
4176.newick	14	0.0010447502136230469	0.046506643295288086	0.04755210876464844	7.626	17.194
2326.newick	20	0.0010883808135986328	0.06959962844848633	0.07068848609924316	9.702	21.126
1794.newick	20	0.0010960102081298828	0.05236363410949707	0.053460121154785156	8.99	19.738
2200.newick	20	0.001116037368774414	0.07089805603027344	0.07201504707336426	9.84	20.943
4770.newick	4	0.0009970664978027344	0.0033063888549804688	0.004304170608520508	3.455	14.22
801.newick	24	0.0016045570373535156	0.06568360328674316	0.06728887557983398	16.139	27.24
522.newick	28	0.0013430118560791016	0.08755373954772949	0.0888972282409668	20.542	35.056
1168.newick	21	0.0012009143829345703	0.05302739143371582	0.0542292594909668	12.833	26.756
4676.newick	5	0.0008709430694580078	0.005315065383911133	0.006186485290527344	3.339	14.346
2336.newick	20	0.001092672348022461	0.07932472229003906	0.08041787147521973	13.145	25.969
3376.newick	20	0.0011577606201171875	0.09569144248962402	0.09684991836547852	11.824	24.389
4346.newick	9	0.0009489059448242188	0.017293691635131836	0.018243074417114258	5.065	15.146
614.newick	26	0.0012791156768798828	0.09040999412536621	0.0916895866394043	18.47	33.831
1809.newick	20	0.001146078109741211	0.07249140739440918	0.0736382007598877	10.695	21.566
3448.newick	20	0.0010831356048583984	0.06691646575927734	0.06800007820129395	9.368	20.78
485.newick	29	0.0013318061828613281	0.09624385833740234	0.09757614135742188	19.694	32.851
3221.newick	20	0.00113677978515625	0.09390974044799805	0.0950469970703125	12.114	24.297
4037.newick	16	0.001043081283569336	0.057923316955566406	0.058966875076293945	7.49	18.105
2839.newick	20	0.0011472702026367188	0.06022191047668457	0.06136965751647949	10.553	21.426
961.newick	22	0.0011718273162841797	0.08437585830688477	0.08554816246032715	13.717	26.427
2303.newick	20	0.0011081695556640625	0.08240461349487305	0.08351349830627441	9.178	20.576
3615.newick	19	0.001110076904296875	0.054494380950927734	0.05560493469238281	9.42	20.112
1919.newick	20	0.0011050701141357422	0.08876299858093262	0.08986854553222656	10.64	22.48
3149.newick	20	0.0012171268463134766	0.09345293045043945	0.09467053413391113	12.222	24.391
373.newick	31	0.0013344287872314453	0.09793376922607422	0.09926867485046387	19.571	33.414
1150.newick	21	0.0011370182037353516	0.07319116592407227	0.07432866096496582	11.874	24.77
4907.newick	4	0.0008530616760253906	0.003120899200439453	0.003974437713623047	3.333	14.21
1641.newick	20	0.0011632442474365234	0.09146833419799805	0.09263205528259277	13.393	26.39
2701.newick	20	0.001116037368774414	0.09726572036743164	0.09838223457336426	12.229	23.695
1007.newick	22	0.0011610984802246094	0.04751300811767578	0.048674583435058594	10.118	21.855
2842.newick	20	0.0011646747589111328	0.10240340232849121	0.10356855392456055	12.388	24.97
809.newick	23	0.0012469291687011719	0.0837559700012207	0.08500337600708008	14.191	27.361
2837.newick	20	0.001140594482421875	0.07586550712585449	0.07700657844543457	10.82	22.116
2214.newick	20	0.0010933876037597656	0.06213951110839844	0.0632333755493164	8.856	20.111
1252.newick	21	0.0012183189392089844	0.0878753662109375	0.08909392356872559	10.999	23.681
1727.newick	20	0.001104593276977539	0.07918643951416016	0.0802915096282959	10.798	22.757
4338.newick	9	0.0009398460388183594	0.019788742065429688	0.02072906494140625	4.849	15.164
3284.newick	20	0.0011296272277832031	0.10053801536560059	0.10166788101196289	12.988	25.902
4627.newick	5	0.0009086132049560547	0.005032777786254883	0.005942106246948242	3.09	14.34
3633.newick	19	0.0010912418365478516	0.07380795478820801	0.07489991188049316	13.051	24.429
4517.newick	6	0.0008702278137207031	0.007861852645874023	0.00873255729675293	4.018	14.802
1627.newick	20	0.0010688304901123047	0.06306838989257812	0.06413769721984863	11.842	22.416
804.newick	23	0.0012023448944091797	0.11170339584350586	0.11290621757507324	15.249	28.091
4900.newick	4	0.0008776187896728516	0.0015869140625	0.0024650096893310547	2.687	14.192
4661.newick	5	0.0008404254913330078	0.005423069000244141	0.0062639713287353516	3.146	14.346
4894.newick	4	0.0008380413055419922	0.003200531005859375	0.00403904914855957	2.823	14.204
3072.newick	20	0.0011072158813476562	0.09164690971374512	0.09275460243225098	14.969	27.397
836.newick	23	0.0011644363403320312	0.058930158615112305	0.06009507179260254	13.306	24.608
4440.newick	7	0.0008771419525146484	0.00896143913269043	0.009839057922363281	4.331	14.94
209.newick	40	0.0015473365783691406	0.1739037036895752	0.17545151710510254	32.676	52.191
4340.newick	9	0.0009315013885498047	0.013709783554077148	0.014641761779785156	4.961	15.122
2590.newick	20	0.0010857582092285156	0.0695505142211914	0.07063674926757812	10.85	22.807
1862.newick	20	0.0011243820190429688	0.06824588775634766	0.06937074661254883	9.398	20.725
4951.newick	4	0.0008280277252197266	0.001573324203491211	0.002402067184448242	3.099	14.22
3085.newick	20	0.001089334487915039	0.07992386817932129	0.08101367950439453	13.438	26.226
2008.newick	20	0.0011234283447265625	0.09605574607849121	0.09717965126037598	12.41	24.785
1664.newick	20	0.0010669231414794922	0.04358816146850586	0.044655799865722656	7.866	18.996
4003.newick	17	0.0010561943054199219	0.05299520492553711	0.05405235290527344	9.659	19.989
2655.newick	20	0.0011157989501953125	0.09933710098266602	0.10045385360717773	12.002	24.185
3607.newick	19	0.0016751289367675781	0.1183767318725586	0.12005257606506348	10.643	23.035
1772.newick	20	0.0017309188842773438	0.16266894340515137	0.16440081596374512	12.138	25.377
973.newick	22	0.001786947250366211	0.16014456748962402	0.16193246841430664	14.275	27.665
541.newick	28	0.0019497871398925781	0.1274409294128418	0.12939167022705078	16.007	28.25
3878.newick	18	0.001676321029663086	0.11422467231750488	0.11590194702148438	10.523	22.178
4165.newick	14	0.0014960765838623047	0.05586123466491699	0.0573580265045166	7.42	16.972
4854.newick	4	0.0012793540954589844	0.004776954650878906	0.006057024002075195	2.847	14.212
1865.newick	20	0.0016596317291259766	0.11524581909179688	0.11690640449523926	12.946	25.459
756.newick	24	0.002103090286254883	0.1240532398223877	0.12615728378295898	17.132	30.374
1575.newick	20	0.0017397403717041016	0.1029820442199707	0.10472226142883301	12.054	24.635
1518.newick	20	0.0011682510375976562	0.05745124816894531	0.05861997604370117	12.206	22.992
11.newick	158	0.004779815673828125	1.9426167011260986	1.947397232055664	128.396	207.617
4231.newick	12	0.0011622905731201172	0.028443098068237305	0.029605865478515625	6.822	16.838
200.newick	41	0.0014412403106689453	0.15415310859680176	0.1555948257446289	26.269	42.688
4253.newick	12	0.0009942054748535156	0.03298377990722656	0.03397870063781738	7.004	16.83
3356.newick	20	0.0011272430419921875	0.09131646156311035	0.09244418144226074	12.332	25.118
2429.newick	20	0.0010991096496582031	0.09027838706970215	0.09137845039367676	9.342	20.282
1878.newick	20	0.0011425018310546875	0.09978580474853516	0.10092878341674805	12.868	25.454
2852.newick	20	0.0012629032135009766	0.10043549537658691	0.1016988754272461	12.372	24.35
4722.newick	4	0.0008466243743896484	0.0015764236450195312	0.002423524856567383	3.303	14.208
2948.newick	20	0.0011112689971923828	0.09911131858825684	0.10022330284118652	14.823	28.789
4351.newick	9	0.0009052753448486328	0.005613088607788086	0.006518840789794922	4.69	15.082
2903.newick	20	0.0011067390441894531	0.09379124641418457	0.09489846229553223	13.324	26.784
2628.newick	20	0.001104593276977539	0.05800509452819824	0.059110164642333984	9.738	20.353
2101.newick	20	0.0011239051818847656	0.09900403022766113	0.1001284122467041	12.107	25.242
2732.newick	20	0.0011038780212402344	0.07066893577575684	0.07177352905273438	10.294	21.158
353.newick	31	0.0013473033905029297	0.1336665153503418	0.13501429557800293	20.105	36.984
2254.newick	20	0.0011250972747802734	0.07459902763366699	0.07572484016418457	10.645	22.459
2641.newick	20	0.0011372566223144531	0.09503817558288574	0.0961759090423584	11.992	24.552
3283.newick	20	0.0011219978332519531	0.07770371437072754	0.0788261890411377	11.448	23.378
908.newick	23	0.0011830329895019531	0.12491369247436523	0.1260972023010254	16.169	31.368
1180.newick	21	0.0011699199676513672	0.1038668155670166	0.10503721237182617	13.539	25.629
3655.newick	19	0.001117706298828125	0.08925867080688477	0.0903770923614502	10.798	23.092
3847.newick	18	0.0010998249053955078	0.08309030532836914	0.08419084548950195	10.356	21.92
686.newick	25	0.0012471675872802734	0.09830594062805176	0.09955358505249023	16.734	30.906
1858.newick	20	0.0011544227600097656	0.09658551216125488	0.09774041175842285	11.994	24.193
2758.newick	20	0.0010995864868164062	0.06512212753295898	0.0662221908569336	9.084	19.341
1555.newick	20	0.001140594482421875	0.09393453598022461	0.09507584571838379	12.222	24.415
4860.newick	4	0.0008559226989746094	0.003100156784057617	0.00395655632019043	3.445	14.21
3694.newick	19	0.0010402202606201172	0.03818559646606445	0.03922629356384277	9.473	19.659
4540.newick	6	0.00086212158203125	0.007919549942016602	0.008782148361206055	4.016	14.808
